url,path,depth,hops,level,money_page,hub,authority_percent
https://simplyenak.com/tours/dietary/vegetarian-food-tours-kuala-lumpur,/tours/dietary/vegetarian-food-tours-kuala-lumpur,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/dietary/vegetarian-food-tours-penang,/tours/dietary/vegetarian-food-tours-penang,3,3,subpage,True,/tours/dietary,61.4
https://simplyenak.com/tours/flavours-of-malaysia,/tours/flavours-of-malaysia,2,2,category,False,,72.2
https://simplyenak.com/tours/georgetown-night-food-durian,/tours/georgetown-night-food-durian,2,2,category,False,,72.2
https://simplyenak.com/tours/inside-pudu,/tours/inside-pudu,2,2,category,False,,72.2
https://simplyenak.com/tours/kl-vegetarian-food-tour,/tours/kl-vegetarian-food-tour,2,2,category,False,,72.2
https://simplyenak.com/tours/kuala-lumpur-street-food,/tours/kuala-lumpur-street-food,2,2,category,False,,72.2
https://simplyenak.com/tours/locations,/tours/locations,2,2,category,False,,72.2
https://simplyenak.com/tours/locations/batu-ferringhi-food-tour-penang,/tours/locations/batu-ferringhi-food-tour-penang,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/chinatown-food-tour-kuala-lumpur,/tours/locations/chinatown-food-tour-kuala-lumpur,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/chow-kit-market-food-tour,/tours/locations/chow-kit-market-food-tour,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/chowrasta-market-food-tour,/tours/locations/chowrasta-market-food-tour,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/food-tours-ipoh,/tours/locations/food-tours-ipoh,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/food-tours-klang,/tours/locations/food-tours-klang,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/food-tours-kuala-lumpur,/tours/locations/food-tours-kuala-lumpur,3,3,subpage,True,/tours/locations,61.4
https://simplyenak.com/tours/locations/food-tours-melaka,/tours/locations/food-tours-melaka,3,3,subpage,True,/tours/locations,61.4
